Category,Description,Keywords
T1055,Process Injection,"code injection, process-based defenses, elevate privileges, arbitrary code execution, address space, live process, memory access, system resources, network resources, security evasion, legitimate process, platform specific, process injections, module segmentation, named pipes, inter-process communication, IPC, Windows API, CreateRemoteThread, SuspendThread, SetThreadContext, ResumeThread, QueueUserAPC, NtQueueApcThread, VirtualAllocEx, WriteProcessMemory, DLL/PE file events, DLL loading, unrecognized DLLs, ptrace system call, Linux monitoring, named pipe creation, Event ID 17, Event ID 18, infected processes, external modules, process behavior analysis, suspicious actions, network connections, file reading, post-compromise behavior"
T1056,Input Capture,"Credential Access, Collection, credentials, login pages, system dialog boxes, Credential API Hooking, Web Portal Capture, Windows Registry Key Modification, Driver Load, OS API Execution, Process Creation, File Modification, Process Metadata, SetWindowsHook, GetKeyState, GetAsyncKeyState, Command and Scripting Interpreter, keylogging, API hooking"
T1053,Scheduled Task,"Job, Execution, Persistence, Privilege Escalation, task scheduling, malicious code, schedule programs, schedule scripts, remote system, authentication, RPC, file and printer sharing, admin group, privileged group, Task Scheduler Security, system startup, elevated permissions, File Creation, Container Creation, Scheduled Job Creation, Command Execution, File Modification, Process Creation, command-line invocation, scheduled tasks, patch cycles, outlier processes, Command and Control, Discovery, Lateral Movement"
T1037,Boot or Logon Initialization Scripts,"Persistence, Privilege Escalation, scripts, boot, logon initialization, administrative functions, execute programs, logging server, operating system, local, remote, logon scripts, local credentials, administrator account, higher privileges, Windows Registry Key Creation, Process Creation, Command Execution, Active Directory Object Modification, File Creation, File Modification, logon scripts monitoring, unusual access, abnormal users, abnormal times, files modified, unusual accounts, running process monitoring, abnormal programs, executables running upon logon"
T1546,Event Triggered Execution,"Privilege Escalation, Persistence, system mechanisms, trigger execution, specific events, logons, user activity, running applications, running binaries, persistent access, malicious code, event triggers, modify event triggers, SYSTEM account, service accounts, Process Creation, Windows Registry Key Modification, Command Execution, File Creation, File Modification, WMI Creation, File Metadata, Module Load, event-based execution, network sockets, administrative activity, Windows Registry, Common Information Model, CIM, configuration information, Sysinternals Autoruns, execution triggers, persistence attempts, abnormal process call trees, DLL loads, malicious DLL, abnormal process behavior, Command and Control, Discovery, Lateral Movement"
T1036,Masquerading,"Defense Evasion, manipulate artifacts, legitimate appearance, benign appearance, evading defenses, file metadata, misidentifying file type, legitimate task names, legitimate service names, renaming system utilities, security monitoring evasion, Image Metadata, Command Execution, Service Metadata, Service Creation, Scheduled Job Metadata, Scheduled Job Modification, File Metadata, Process Metadata, File Modification, file hashes, unexpected file names, file monitoring, unusual file locations, mismatched file names, PE metadata, InternalName, OriginalFilename, ProductName, disk and resource filenames, command-line arguments, rate of detection, trick users, misidentifying file type, right-to-left override characters, U+202E, %E2%80%AE"
T1027,Obfuscated Files or Information,"Defense Evasion, encrypting, encoding, obfuscating, evade defenses, compressed payloads, archived payloads, encrypted payloads, Initial Access, User Execution, password protected files, compressed scripts, archived scripts, JavaScript obfuscation, encoded file portions, hide plain-text strings, split payloads, reassemble malicious functionality, obfuscated commands, Command and Scripting Interpreter, environment variables, aliases, platform semantics, language semantics, signature evasion, application control evasion, Command Execution, File Metadata, File Creation, Process Creation, obfuscation artifacts, malicious activity detection, escape characters, Sysmon, Event ID 4688, deobfuscation tools, network intrusion detection, email gateway filtering, compressed attachments, encrypted attachments, network traffic inspection, anti-virus alert, security tool alert, network IDS, email scanning appliance, boundary detection, intrusion indication, operation continuation, event correlation, network activity monitoring"
T1070,Indicator Removal on Host,"Defense Evasion, delete artifacts, alter artifacts, logs, captured files, quarantined malware, Bash History, /var/log/*, event collection, event reporting, intrusion activity detection, compromise security solutions, unreported events, impede forensic analysis, incident response, lack of sufficient data, Process Creation, File Deletion, File Modification, Windows Registry Key Modification, Windows Registry Key Deletion, OS API Execution, Command Execution, Network Traffic Content, User Account Authentication, File Metadata, file system monitoring, deletion detection, modification detection, improper deletion, improper modification, indicator files, detection mechanisms"
T1014,Rootkit,"Defense Evasion, hide presence, programs, files, network connections, services, drivers, system components, intercepting API calls, hooking API calls, modifying system information, user level rootkits, kernel level rootkits, hypervisor rootkits, Master Boot Record, System Firmware, Windows rootkits, Linux rootkits, Mac OS X rootkits, Drive Modification, Firmware Modification, anti-virus protections, rootkit detection tools, rootkit behavior, unrecognized DLLs, unrecognized devices, unrecognized services, changes to MBR"
T1601,Modify System Image,"Defense Evasion, operating system modification, embedded network devices, monolithic operating systems, single file, file modification, live memory modification, system runtime modification, next boot modification, operating system version, query operating system version, version comparison, integrity verification, checksum comparison, trusted source checksum, embedded device platforms, advanced debugging support, vendor technical support, run-time memory verification, Cisco IOS Software Integrity Assurance, image file verification, operating system compromise detection"
